timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1741766531.057144 0.13136343 -0.03319632 -0.00774547 0.00232735 -0.00113036 -0.00299305
1741766531.190479 0.13067398 -0.02828619 -0.00912990 0.00250349 -0.00130395 -0.00280582
1741766531.323907 0.13705268 -0.01974406 -0.01001285 0.00257548 -0.00148425 -0.00251688
1741766531.457385 0.13115517 -0.03128404 -0.00906340 0.00252892 -0.00125817 -0.00261649
1741766531.590846 0.13112520 -0.03654118 -0.00841721 0.00272967 -0.00103781 -0.00261486
1741766531.724228 0.13100708 -0.03603882 -0.00866911 0.00285362 -0.00097146 -0.00266031
1741766531.857724 0.13151802 -0.03401746 -0.00904009 0.00285091 -0.00091852 -0.00264680
1741766531.991143 0.13197426 -0.03111705 -0.00925502 0.00269896 -0.00096484 -0.00266404
1741766532.124583 0.13279865 -0.03091622 -0.00913650 0.00269759 -0.00090163 -0.00270283
1741766532.258026 0.13357547 -0.03115270 -0.00896419 0.00261088 -0.00092276 -0.00270084
1741766532.391509 0.13372718 -0.03083516 -0.00941926 0.00272624 -0.00102336 -0.00268829
1741766532.524847 0.13537615 -0.03299772 -0.00875793 0.00266055 -0.00112022 -0.00268195
1741766532.658503 0.13482555 -0.02985298 -0.00968338 0.00261259 -0.00103894 -0.00275470
1741766532.791957 0.13973547 -0.02245823 -0.00892290 0.00261610 -0.00114124 -0.00284728
1741766532.925232 0.13815618 -0.02039693 -0.00994613 0.00255866 -0.00092614 -0.00284351
1741766533.059106 0.14195991 -0.01936695 -0.00959346 0.00262464 -0.00113220 -0.00285663
1741766533.192238 0.11456360 -0.04264983 -0.01338936 0.00225042 -0.00142789 -0.00277071
1741766533.325678 0.14137241 -0.01316840 -0.01135578 0.00256413 -0.00111619 -0.00287337
1741766533.458922 0.14748439 -0.02093264 -0.00892745 0.00247972 -0.00111815 -0.00287375
1741766533.592427 0.14581400 -0.01298518 -0.00986952 0.00246301 -0.00098502 -0.00294784
1741766533.725778 0.15063017 -0.02235695 -0.00830079 0.00256600 -0.00111876 -0.00281707
1741766533.859378 0.14400776 -0.01879879 -0.00988255 0.00239960 -0.00108728 -0.00308431
1741766533.992822 0.15015888 -0.02053757 -0.00854992 0.00253402 -0.00101333 -0.00302262
1741766534.126114 0.14514843 -0.01452796 -0.00930350 0.00230723 -0.00075826 -0.00298048
1741766534.259532 0.14637523 -0.01409638 -0.00930567 0.00239399 -0.00081666 -0.00304388
1741766534.392955 0.14606996 -0.04073536 -0.00964415 0.00246413 -0.00190484 -0.00278678
1741766534.526473 0.14994838 -0.04223886 -0.00821919 0.00257233 -0.00182279 -0.00282357
1741766534.659822 0.14946471 -0.05094337 -0.00565346 0.00227341 -0.00165892 -0.00316060
1741766534.793296 0.14521122 -0.04672581 -0.00663611 0.00223844 -0.00162334 -0.00285393
1741766534.927052 0.13443036 -0.02899507 -0.01081594 0.00187466 -0.00167614 -0.00249661
1741766535.060099 0.14134798 -0.04886802 -0.00779114 0.00204206 -0.00195834 -0.00270130
1741766535.193497 0.14596917 -0.03880502 -0.00603722 0.00183339 -0.00142896 -0.00247403
1741766535.327036 0.12398982 -0.05157916 -0.01057278 0.00157386 -0.00214951 -0.00282311
1741766535.460535 0.14360164 -0.04359961 -0.00614961 0.00172263 -0.00154311 -0.00207129
1741766535.594027 0.14602839 -0.04327127 -0.00574185 0.00188650 -0.00140828 -0.00200311
1741766535.727443 0.15023324 -0.03813055 -0.00362302 0.00184232 -0.00070197 -0.00164792
1741766535.860806 0.13973842 -0.04208681 -0.00583788 0.00168440 -0.00092136 -0.00228930
1741766535.994226 0.14024195 -0.05521717 -0.00607428 0.00172032 -0.00138332 -0.00189077
1741766536.127551 0.13606602 -0.05021140 -0.00634494 0.00152659 -0.00120893 -0.00194880
1741766536.261057 0.13868010 -0.04820031 -0.00364223 0.00125936 -0.00054019 -0.00124247
1741766536.394474 0.12724874 -0.04838807 -0.00789240 0.00150537 -0.00140450 -0.00293658
1741766536.527914 0.13354545 -0.05842748 -0.00474412 0.00122101 -0.00133637 -0.00184314
1741766536.661486 0.14017707 -0.05605007 -0.00318901 0.00130634 -0.00109997 -0.00192220
1741766536.762488 0.12815737 -0.05097196 -0.00664262 0.00122202 -0.00130690 -0.00165853
1741766536.928371 0.12541555 -0.04833419 -0.00682433 0.00120016 -0.00125049 -0.00264194
1741766537.061618 0.13013769 -0.04797065 -0.00532658 0.00117214 -0.00104257 -0.00265943
1741766537.195284 0.12112358 -0.04740260 -0.00790146 0.00121817 -0.00130407 -0.00276240
1741766537.328535 0.11361734 -0.05299823 -0.00608790 0.00106041 -0.00133149 -0.00273318
1741766537.461944 0.11772683 -0.05195749 -0.00787783 0.00106982 -0.00137923 -0.00258165
1741766537.562258 0.10441973 -0.05223514 -0.00740524 0.00093812 -0.00141933 -0.00213015
1741766537.698525 0.11631100 -0.04831062 -0.00855247 0.00113604 -0.00145154 -0.00202411
1741766537.829138 0.12433479 -0.04468517 -0.00554165 0.00104499 -0.00107067 -0.00200501
1741766537.962501 0.11850670 -0.04604202 -0.00746762 0.00100762 -0.00131483 -0.00199949
1741766538.095705 0.11761729 -0.04578994 -0.00782089 0.00099427 -0.00131060 -0.00192165
1741766538.229154 0.11725642 -0.04469533 -0.00796345 0.00096610 -0.00129890 -0.00185532
1741766538.362549 0.11621431 -0.04460407 -0.00805872 0.00091029 -0.00125699 -0.00181974
1741766538.495919 0.11577850 -0.04426549 -0.00773630 0.00090370 -0.00118775 -0.00181090
1741766538.629433 0.11597841 -0.04513430 -0.00755160 0.00094369 -0.00116426 -0.00180177
1741766538.762774 0.11514518 -0.04463573 -0.00783645 0.00092311 -0.00114425 -0.00179426
1741766538.896332 0.11427786 -0.04605615 -0.00794968 0.00095631 -0.00116057 -0.00176929
1741766539.029752 0.11562211 -0.04545008 -0.00742038 0.00093542 -0.00109007 -0.00179861
1741766539.163141 0.11697595 -0.04664772 -0.00712526 0.00091814 -0.00106603 -0.00177033
1741766539.296660 0.11494370 -0.04564554 -0.00755549 0.00089244 -0.00104391 -0.00176065
1741766539.429980 0.11313485 -0.04452450 -0.00776116 0.00086751 -0.00107716 -0.00180636
1741766539.563410 0.11109193 -0.04500656 -0.00799560 0.00082968 -0.00109737 -0.00180331
1741766539.696851 0.11039472 -0.04618788 -0.00747489 0.00086653 -0.00105284 -0.00181251
1741766539.830497 0.11114634 -0.04670285 -0.00722432 0.00086130 -0.00094871 -0.00180896
1741766539.963718 0.11146777 -0.04774074 -0.00703146 0.00083300 -0.00088919 -0.00176796
1741766540.097296 0.11227622 -0.04923691 -0.00669752 0.00083409 -0.00083732 -0.00172211
1741766540.230709 0.11096848 -0.04785784 -0.00717462 0.00082201 -0.00079147 -0.00172683
1741766540.364027 0.10801543 -0.04445396 -0.00853636 0.00074912 -0.00084876 -0.00163966
1741766540.497459 0.10225150 -0.04059906 -0.01043032 0.00071132 -0.00101838 -0.00158366
1741766540.631135 0.10823686 -0.04606122 -0.00843846 0.00068771 -0.00096052 -0.00160516
1741766540.764428 0.11259298 -0.05010277 -0.00691389 0.00061668 -0.00083678 -0.00169762
1741766540.898008 0.11301485 -0.05218651 -0.00660678 0.00058785 -0.00079175 -0.00157941
1741766541.031341 0.10561448 -0.04886206 -0.00855548 0.00057925 -0.00087357 -0.00157877
1741766541.164599 0.10969181 -0.05335270 -0.00707524 0.00048502 -0.00078044 -0.00155039
1741766541.298088 0.10692809 -0.05062729 -0.00775999 0.00043203 -0.00076711 -0.00154031
1741766541.431498 0.10363030 -0.05575224 -0.00769835 0.00033711 -0.00076321 -0.00140209
1741766541.564917 0.09750090 -0.04648595 -0.01025024 0.00039916 -0.00091782 -0.00157055
1741766541.698327 0.09871299 -0.04594637 -0.00955068 0.00040140 -0.00084544 -0.00163909
1741766541.831835 0.09927350 -0.04636053 -0.00919828 0.00034269 -0.00082641 -0.00165172
1741766541.965266 0.09893447 -0.04715798 -0.00910798 0.00030683 -0.00086712 -0.00169914
